
See below:

time[d]	beta1	beta2	beta3	beta4	beta5	beta6	ngt[s^-1]	fuel_temp_coeff[pcm/dK]	mod_temp_coeff[pcm/dK]
0	    2.184E-04	1.424E-03	1.279E-03	2.616E-03	7.921E-04	2.691E-04	1.141E-04	-8.922	-1.328
3	    2.183E-04	1.423E-03	1.279E-03	2.616E-03	7.921E-04	2.691E-04	1.141E-04	-8.900	-1.331
33	    2.176E-04	1.419E-03	1.275E-03	2.606E-03	7.891E-04	2.682E-04	1.137E-04	-8.911	-1.297
183	    2.131E-04	1.395E-03	1.249E-03	2.546E-03	7.714E-04	2.626E-04	1.114E-04	-8.858	-1.242
365	    2.060E-04	1.355E-03	1.207E-03	2.451E-03	7.429E-04	2.538E-04	1.078E-04	-8.748	-1.405
730	    1.964E-04	1.303E-03	1.153E-03	2.325E-03	7.059E-04	2.421E-04	1.034E-04	-8.607	-1.649
1095	1.862E-04	1.250E-03	1.096E-03	2.195E-03	6.684E-04	2.298E-04	9.892E-05	-8.461	-2.089
1460	1.778E-04	1.207E-03	1.050E-03	2.092E-03	6.397E-04	2.198E-04	9.543E-05	-8.359	-2.362
1825	1.706E-04	1.171E-03	1.013E-03	2.008E-03	6.171E-04	2.113E-04	9.263E-05	-8.293	-2.557
2190	1.643E-04	1.142E-03	9.810E-04	1.937E-03	5.988E-04	2.041E-04	9.028E-05	-8.238	-2.720
2555	1.587E-04	1.116E-03	9.535E-04	1.876E-03	5.836E-04	1.977E-04	8.826E-05	-8.204	-2.836
2920	1.537E-04	1.094E-03	9.293E-04	1.823E-03	5.708E-04	1.920E-04	8.649E-05	-8.180	-2.916
3285	1.491E-04	1.074E-03	9.078E-04	1.776E-03	5.598E-04	1.869E-04	8.492E-05	-8.154	-2.999
3650	1.449E-04	1.056E-03	8.884E-04	1.734E-03	5.501E-04	1.822E-04	8.351E-05	-8.138	-3.037

